"OC_CODICE_PROGRAMMA";"x_CICLO";"x_FONDO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"NOTE"
"2016PATTIFIR";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO FIRENZE";
"2016PATTIGEN";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO GENOVA";
"2016PATTILAZ";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO LAZIO";
"2016PATTILOMB";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO LOMBARDIA";
"2016PATTIMIL";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO MILANO";
"2016PATTINAP";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO NAPOLI";
"2016PATTIPAL";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO PALERMO";
"2016PATTIPUG";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO PUGLIA";
"2016PATTISICI";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO SICILIA";
"2018FREJUSFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";"TRAFORO FREJUS";
"2017NAPOLI-POZZ";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";"COLLEGAMENTO PORTO DI POZZUOLI";
"2015XMINTFSC016";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";"PIANO SICUREZZA URBANA ROMA";"x_CICLO era 2007-2013"
"2012XMITRFSC005";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";"LINEA METROPOLITANA DI MILANO M5";
"2014IT16M2OP001";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"POR";"POR MOLISE FESR FSE";
"2014IT16M2OP002";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"POR";"POR PUGLIA FESR FSE";
"2014IT16M2OP006";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"POR";"POR CALABRIA FESR FSE";
"2014IT16M2OP003";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"PON";"PON LEGALITA'";
"2014IT16M2OP004";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"PON";"PON METRO";
"2014IT16M2OP005";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"PON";"PON RICERCA";
